latitude,longitude,tile_x,tile_y,tile_z,road_name,Status
43.7499923,7.435502,34121,23893,16,"['Boulevard du Ténao', 'Boulevard du Tenao']",
43.7499697,7.4354132,34121,23893,16,"['Boulevard du Ténao', 'Boulevard du Tenao']",
43.7514119,7.4378631,34122,23892,16,Boulevard d'Italie,
43.7306609,7.4147839,34117,23898,16,,
43.7307285,7.4148785,34117,23898,16,,
43.7308902,7.4151386,34117,23898,16,,
43.7310914,7.4154866,34117,23898,16,,
43.7311524,7.4155679,34117,23898,16,,
43.7306924,7.4148944,34117,23898,16,Boulevard Charles III,
43.7307238,7.4149855,34117,23898,16,Boulevard Charles III,
43.730865,7.4152537,34117,23898,16,Boulevard Charles III,
43.7309327,7.41537,34117,23898,16,Boulevard Charles III,
43.7310269,7.415582,34117,23898,16,Boulevard Charles III,
43.7311215,7.4158274,34118,23898,16,Boulevard Charles III,
43.7312277,7.4161704,34118,23898,16,Boulevard Charles III,
43.7313064,7.4164481,34118,23898,16,Boulevard Charles III,
43.7313685,7.4166618,34118,23898,16,Boulevard Charles III,
43.7314403,7.4168964,34118,23897,16,Boulevard Charles III,
43.7314895,7.417092,34118,23897,16,Boulevard Charles III,
43.7315034,7.4171473,34118,23897,16,Boulevard Charles III,
43.7257852,7.4180931,34118,23899,16,Avenue des Ligures,
43.7255194,7.4184894,34118,23899,16,Avenue des Ligures,
43.7258075,7.4180618,34118,23899,16,Avenue des Ligures,
43.7258114,7.4181335,34118,23899,16,,
43.7257516,7.4180462,34118,23899,16,,
43.7264182,7.415781,34118,23899,16,Avenue des Castelans,
43.7264178,7.4156307,34117,23899,16,Avenue des Castelans,
43.7264034,7.4166904,34118,23899,16,Avenue des Guelfes,
43.727733,7.4188008,34118,23898,16,Avenue des Papalins,
43.727769,7.4187922,34118,23898,16,Avenue des Papalins,
43.7278398,7.4187697,34118,23898,16,Avenue des Papalins,
43.7279139,7.4187375,34118,23898,16,Avenue des Papalins,
43.7277244,7.4187808,34118,23898,16,,
43.7277115,7.4187657,34118,23898,16,,
43.7276958,7.4187572,34118,23898,16,,
43.727679,7.4187563,34118,23898,16,,
43.7276397,7.4195101,34118,23898,16,,
43.7276968,7.4195013,34118,23898,16,,
43.7276348,7.4195622,34118,23898,16,Avenue des Papalins,
43.7276077,7.4197143,34118,23898,16,Avenue des Papalins,
